"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Vox","Unidas Podemos","Cs","ERC-Sobiranistes","Mas Pais","JxCat","PNV","EH Bildu","CUP","CC-NCa","BNG","NA+","PRC","v1x2","last_day","fuente","titular","urlDW"
"49","NC Report/La Razon","15-19 Sep 2020",1000,62.4,26.8,24.1,15.2,11.3,6.3,3.4,2.4,2.6,1.5,1.2,NA,NA,NA,"0.4",NA,"2.7",2020-09-19,"https://www.larazon.es/espana/20200921/osw3ayszybesjottjov3lq2h54.html","Encuesta NC Report: La coalicion se deja 13 escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"50","KeyData/Publico","18 Sep 2020",NA,67.2,27.7,22.8,14.7,11.4,7.7,3.6,1.9,2.3,1.6,1.2,0.9,0.5,NA,NA,NA,"4.9",2020-09-18,"https://www.publico.es/politica/encuestas-electorales-gobierno-coalicion-resiste-encuestas-ano-despues-elecciones-pese-covid-19.html","El Gobierno de coalicion resiste en las encuestas casi un ano despues de las elecciones y pese a la covid-19","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"51","Metroscopia","17 Sep 2020",NA,59,28.3,21,17.5,10.2,5.7,2.7,NA,NA,NA,NA,NA,NA,NA,"0.4",NA,"7.3",2020-09-17,"https://cincodias.elpais.com/cincodias/2020/09/24/opinion/1600954147_716480.html","Tiempos revueltos, tiempos propicios para Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Metroscopia </a>"
"52","Invymark/laSexta","7-11 Sep 2020",NA,NA,28.6,22.4,14.5,11.3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.2",2020-09-11,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-un-60-de-los-encuestados-prefiere-a-ciudadanos-antes-que-a-los-partidos-independentistas-para-pactar-los-presupuestos_202009135f5e0e35653ee200019a7e07.html","Barometro laSexta: un 60% de los encuestados prefiere a Ciudadanos antes que a los partidos independentistas para pactar los Presupuestos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"53","ElectoPanel/Electomania","7-11 Sep 2020",1227,NA,27,20.3,16.6,11.1,8.6,3.4,2.2,2.7,1.3,1.2,0.7,0.5,0.6,"0.4","0.2","6.7",2020-09-11,"https://electomania.es/avanceep13s20/","ElectoPanel (13S): bajan PP y PSOE, suben UP y Cs. Vox se sigue acercando al PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"54","Simple Logica","1-11 Sep 2020",1065,63.4,28.1,22.1,15.8,12.3,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.0",2020-09-11,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-septiembre-2020/","Intencion de voto y valoracion de lideres politicos (septiembre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"55","CIS","1-7 Sep 2020",2904,NA,31.5,18.1,11.7,12.2,10.6,2.8,1.5,1.7,1.2,0.8,0.6,0.6,0.8,"0.5","0.2","13.4",2020-09-07,"http://datos.cis.es/pdf/Es3292marMT_A.pdf","Barometro de septiembre 2020 (Estudio nº 3292. Septiembre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"56","CIS (SocioMetrica)","1-7 Sep 2020",2904,61.8,28.5,19.1,15,12.3,9.7,2.5,1.6,1.5,1.5,0.9,0.6,0.3,0.9,"0.4","0.1","9.4",2020-09-07,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (SocioMetrica) </a>"
"57","Sigma Dos/Antena 3","6 Sep 2020",NA,NA,28.9,25.3,13.5,12.1,6.2,3.3,0.9,1.6,1.9,NA,NA,NA,NA,NA,NA,"3.6",2020-09-06,"https://www.antena3.com/noticias/espana/barometro-psoe-suben-intencion-voto-populares-recortando-distancia-mientras-resto-formaciones-pierden-apoyo_202009065f54da034ac60a0001157c29.html","Barometro: PP y PSOE suben en intencion de voto con los populares recortando distancia, mientras el resto de formaciones pierden apoyo","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/Antena 3 </a>"
"58","ElectoPanel/Electomania","30 Aug-3 Sep 2020",1240,NA,27.5,20.8,16.4,10.6,8.2,3.4,2.3,2.7,1.4,1.2,0.7,0.5,0.7,"0.4","0.2","6.7",2020-09-03,"https://electomania.es/ep6s20/","ElectoPanel (6S): caida de UP, que vuelve al 10%. Vox sube y roza el 16,5% y los 60 escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"59","SocioMetrica/El Espanol","28-30 Aug 2020",1620,NA,27.3,24.1,14.3,9.6,8.7,3.4,2.3,2.7,1.7,1.3,0.8,0.6,0.6,"0.4","0.2","3.2",2020-08-30,"https://www.elespanol.com/espana/politica/20200831/podemos-intencion-voto-baja-llego-congreso-diputados/516948831_0.html","Podemos cae al 9,6%, su intencion de voto mas baja desde que en 2015 llego al Congreso de los Diputados","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SocioMetrica/El Espanol </a>"
"60","NC Report/La Razon","25-29 Aug 2020",1000,62.1,26.9,24.7,15,10.7,5.7,3.5,2.4,2.5,1.5,1.3,NA,NA,NA,NA,NA,"2.2",2020-08-29,"https://www.larazon.es/espana/20200831/2plhyftsyjbltbdokw44jnf66a.html","Encuesta electoral: La mocion de Vox da aire a Sanchez","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"61","ElectoPanel/Electomania","23-27 Aug 2020",1430,NA,27.4,21.4,15.8,11.5,7.5,3.5,2.1,2.7,1.4,1.2,0.7,0.5,0.7,"0.4","0.2","6.0",2020-08-27,"https://electomania.es/ep30a20/","ElectoPanel (30ago): nueva subida de Vox, que roza el 16% y los 60 escanos. Baja el PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"62","SW Demoscopia","19-21 Aug 2020",1001,NA,28.7,20.2,15.9,11.4,9.5,3.6,1.2,2.5,1.5,1.3,NA,NA,NA,NA,NA,"8.5",2020-08-21,"http://swdemoscopia.com/2020/08/21/barometro-agosto-sw/","Barometro agosto SW","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia </a>"
"63","ElectoPanel/Electomania","18-21 Aug 2020",1520,NA,27.2,22.1,15.3,11.2,7.4,3.5,2.1,2.8,1.3,1.2,0.7,0.5,0.7,"0.4","0.2","5.1",2020-08-21,"https://electomania.es/ep21a20/","ElectoPanel (21ago): Vox rompe la barrera del 15% y los 50 escanos tras la destitucion de Cayetana A. de Toledo","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"64","ElectoPanel/Electomania","10-13 Aug 2020",1802,NA,26.7,22.9,14.7,11.5,7.2,3.6,2.1,2.9,1.3,1.3,0.7,0.5,0.7,"0.4","0.2","3.8",2020-08-13,"https://electomania.es/ep16a2020/","ElectoPanel (16ago): UP se mantiene, baja Cs y sube Vox, que roza el 15%","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"65","Simple Logica","3-6 Aug 2020",1046,65.1,29.2,22.9,13.5,11.4,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3",2020-08-06,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-agosto-2020/","Intencion de voto y valoracion de lideres politicos (agosto 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"66","ElectoPanel/Electomania","3-6 Aug 2020",2150,NA,26.8,23,14.1,11.6,7.7,3.8,2.1,3,1.3,1.3,0.6,0.5,0.7,"0.4","0.2","3.8",2020-08-06,"https://electomania.es/ep9a20/","ElectoPanel (9Ag): empate perfecto entre derecha e izquierda","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"67","ElectoPanel/Electomania","3-4 Aug 2020",1530,NA,27.5,23.1,14.1,10.6,7.9,3.7,2.1,2.8,1.4,1.3,0.6,0.5,0.7,"0.4","0.2","4.4",2020-08-04,"https://electomania.es/epvoto4ago20/","ElectoPanel (4Ago): crece UP, suben los partidos republicanos, baja el PSOE y la derecha gana escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"68","Celeste-Tel/eldiario.es","27-31 Jul 2020",1100,64.1,28.7,24.4,14.6,11.9,5.3,3.5,2.2,2.2,1.6,1.2,1,0.6,0.9,"0.4","0.2","4.3",2020-07-31,"https://www.eldiario.es/politica/mejora-psoe-capitaliza-gestion-pandemia-resultados-10n-pp-alza_1_6156405.html","El PSOE y el PP capitalizan la gestion de la pandemia y mejoran sus resultados del 10N","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/eldiario.es </a>"
"69","ElectoPanel/Electomania","25-31 Jul 2020",1700,NA,28.9,23,14.2,10,7.7,3.7,1.9,2.4,1.4,1.3,0.6,0.5,0.7,"0.4","0.2","5.9",2020-07-31,"https://electomania.es/ep2a20/","ElectoPanel (2ago): ligera recuperacion del PP. UP en el 10%, leve descenso de PSOE y Cs","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"70","Metroscopia","26 Jul 2020",NA,NA,29.7,24.8,13,10.7,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9",2020-07-26,"https://cincodias.elpais.com/cincodias/2020/09/24/opinion/1600954147_716480.html","Tiempos revueltos, tiempos propicios para Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Metroscopia </a>"
"71","Invymark/laSexta","20-24 Jul 2020",NA,NA,29.1,21.4,14,11.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.7",2020-07-24,"https://www.lasexta.com/noticias/nacional/barometro-de-lasexta-el-psoe-volveria-a-ganar-las-elecciones-con-el-29-de-apoyos-y-vox-se-consolidaria-como-tercera-fuerza_202007265f1da8d3f5f4b20001d960b9.html","Barometro de laSexta: el PSOE volveria a ganar las elecciones y Vox se consolidaria como tercera fuerza","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"72","ElectoPanel/Electomania","20-24 Jul 2020",1500,NA,29.1,22.7,14.1,9.9,7.9,3.8,2,2.4,1.4,1.3,0.6,0.5,0.7,"0.4","0.2","6.4",2020-07-24,"https://electomania.es/ep26jul20/","ElectoPanel (26J): el PSOE se dispara y roza el 30%. Bajan PP y Vox. UP en unidigito y a 2 puntos y 8 escanos de un sorpasso de Cs","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"73","CIS","9-19 Jul 2020",2926,NA,32.4,19.4,12.3,12.6,8.7,2.8,1.6,1.3,1,1,0.5,0.5,0.8,"0.4","0.3","13.0",2020-07-19,"http://datos.cis.es/pdf/Es3290marMT_A.pdf","Opinion publica y politica fiscal (XXXVII) (Estudio nº 3290. Julio 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"74","NC Report/La Razon","14-18 Jul 2020",1000,62.2,26.4,25.2,14.9,10.7,5.5,3.6,2.1,2.4,1.6,1.3,NA,NA,NA,"0.4",NA,"1.2",2020-07-18,"https://www.larazon.es/espana/20200720/fck5wsy4mjfe7otj4dbjlqps74.html","Iglesias se hunde tambien en las generales y solo sube el PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"75","ElectoPanel/Electomania","12-17 Jul 2020",1500,NA,27.5,23.4,14.5,10.3,7.5,3.6,2.1,2.7,1.4,1.3,0.7,0.5,0.7,"0.4","0.2","4.1",2020-07-17,"https://electomania.es/ep18jul20/","ElectoPanel (18Jul): el 12J cambia el escenario. El PSOE recupera registro de hace meses. Sube el PP, baja Vox. Caen Cs y UP, que roza el unidigito","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"76","KeyData/Publico","17 Jul 2020",NA,68,27.7,23.7,12.9,12.4,7.2,3.6,1.9,2.3,1.7,1.2,0.9,0.5,NA,NA,NA,"4.0",2020-07-17,"https://www.publico.es/politica/sondeos-psoe-superaria-pandemia-intacto-sacaria-18-escanos-pp-celebraran-elecciones-generales.html","Sondeos: el PSOE superaria la pandemia casi intacto y sacaria 18 escanos al PP si se celebraran elecciones generales","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"77","GAD3/ABC","6-14 Jul 2020",2300,NA,29.1,27.6,11.2,10.1,5.2,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",2020-07-14,"https://www.abc.es/espana/abci-pp-casado-primera-fuerza-superar-psoe-cuatro-escanos-202007142244_noticia.html","El PP de Casado ya es primera fuerza al superar al PSOE en cuatro escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GAD3/ABC </a>"
"78","ElectoPanel/Electomania","3-10 Jul 2020",3700,NA,26.6,22.9,15,11.2,8.6,3.7,1.9,2.8,1.4,1.2,0.7,0.5,0.5,"0.3","0.2","3.7",2020-07-10,"https://electomania.es/ep11jul20/","ElectoPanel generales (11Jul): caida de UP, bajada del PP y subida de Vox y PSOE","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"79","IMOP/CIS","1-9 Jul 2020",3032,NA,32.1,21.2,11.6,12.1,8.8,2.7,0.9,1.5,1.3,0.8,0.6,0.4,0.7,"0.4","0.1","10.9",2020-07-09,"http://datos.cis.es/pdf/Es3288marMT_A.pdf","Barometro especial de julio 2020 (Estudio nº 3288. Julio 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> IMOP/CIS </a>"
"80","Simple Logica","1-8 Jul 2020",1035,64.1,29.1,21.8,15,12.5,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.3",2020-07-08,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-julio-2020/","Intencion de voto y valoracion de lideres politicos (julio 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"81","ElectoPanel/Electomania","29 Jun-2 Jul 2020",3100,NA,26.3,23.5,14.6,11.9,8.5,3.5,1.9,2.6,1.3,1.2,0.8,0.5,0.5,"0.4","0.2","2.8",2020-07-02,"https://electomania.es/ep4jul20/","ElectoPanel (4Jul): retroceso del PP que da ventaja a la izquierda. Suben UP, Vox y Cs, que alcanza el 8,5%","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"82","DYM/Henneo","24-27 Jun 2020",1000,NA,26,22.4,15.1,11.3,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.6",2020-06-27,"https://www.heraldo.es/noticias/nacional/2020/07/02/encuesta-henneo-psoe-y-pp-recuperan-voto-cs-y-vox-tienen-leves-caidas-y-up-se-mantiene-1383695.html","PSOE y PP recuperan voto, Cs y Vox tienen leves caidas y UP se mantiene","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> DYM/Henneo </a>"
"83","GESOP","22-26 Jun 2020",750,NA,28.5,23.5,13,13.5,6,3,NA,2,NA,NA,NA,NA,NA,NA,NA,"5.0",2020-06-26,"https://gesop.net/es/2020/07/02/como-se-vive-la-nueva-normalidad/","¿Como se vive la nueva normalidad?","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GESOP </a>"
"84","Invymark/laSexta","22-26 Jun 2020",NA,NA,27.8,21,14.1,12.8,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8",2020-06-26,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-745-de-los-encuestados-apoya-un-pacto-entre-pp-y-gobierno-para-la-reconstruccion-economica_202006285ef893f679400600019940c3.html","Barometro laSexta. El 74,5% de los encuestados apoya un pacto entre PP y Gobierno para la reconstruccion economica","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"85","ElectoPanel/Electomania","22-26 Jun 2020",3220,NA,26.3,24.2,14.2,11.7,8,3.5,2,2.6,1.3,1.2,0.8,0.5,0.5,"0.4","0.2","2.1",2020-06-26,"https://electomania.es/ep27j20/","ElectoPanel Generales (27J): el PSOE se comienza a distanciar del PP y deja a la derecha casi sin opciones","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"86","Demoscopia y Servicios/ESdiario","17-19 Jun 2020",1000,NA,25,24.2,15.1,13.7,6.2,3.1,1.5,2.8,1.5,1.4,1,0.4,0.6,"0.4","0.3","0.8",2020-06-19,"https://www.esdiario.com/823279096/Sondeo-Casado-vence-a-Sanchez-y-recoge-los-frutos-de-su-erratica-gestion.html","Sondeo: Casado vence a Sanchez y recoge los frutos de su erratica gestion","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Demoscopia y Servicios/ESdiario </a>"
"87","ElectoPanel/Electomania","13-19 Jun 2020",3530,NA,25.5,24.6,14.2,11.8,8.2,3.6,1.9,2.6,1.3,1.2,0.8,0.5,0.5,"0.4","0.2","0.9",2020-06-19,"https://electomania.es/ep20j20/","ElectoPanel (20J): ligera bajada del PSOE, ligera subida de Cs","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"88","Sigma Dos/El Mundo","15-17 Jun 2020",1000,NA,28.7,26,11.7,12,8.3,3.1,1.2,2,1.9,NA,NA,NA,NA,NA,NA,"2.7",2020-06-17,"https://www.elmundo.es/espana/2020/06/22/5eef897dfdddff96438b45ee.html","El PP se pone a menos de tres puntos del PSOE y Vox sufre un fuerte varapalo","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/El Mundo </a>"
"89","NC Report/La Razon","9-13 Jun 2020",1000,61.7,26,25.1,14.8,12.1,5.6,3.7,1.9,2.4,1.6,1.3,1,0.5,0.5,"0.4","0.3","0.9",2020-06-13,"https://www.larazon.es/espana/20200615/t5c27hi27zaozbanrwgdfeflni.html","Casado se queda a 200.000 votos de Sanchez y el giro al centro penaliza a Cs","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"90","ElectoPanel/Electomania","6-12 Jun 2020",2000,NA,25.9,24.7,14.1,11.7,7.9,3.6,2,2.6,1.3,1.2,0.8,0.5,0.5,"0.4","0.2","1.2",2020-06-12,"https://electomania.es/ep13j20/","ElectoPanel (13J): ligera recuperacion del PSOE, que recupera la ventaja de 1p con el PP y le empata en escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"91","IMOP/CIS","1-9 Jun 2020",4258,NA,31.2,20,12.5,11.4,9.4,2.6,1.3,1.2,1.4,0.9,0.7,0.4,0.6,"0.3","0.1","11.2",2020-06-09,"http://datos.cis.es/pdf/Es3283marMT_A.pdf","Barometro especial de junio 2020 (Estudio nº 3283. Junio 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> IMOP/CIS </a>"
"92","CIS (SocioMetrica)","1-9 Jun 2020",4258,65.1,31.2,21.8,13,11.4,9,2.4,2,1.3,1.4,0.9,0.8,0.4,0.5,"0.2","0.1","9.4",2020-06-09,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (SocioMetrica) </a>"
"93","Simple Logica","1-5 Jun 2020",1012,62.7,29.9,21.7,15.1,12,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.2",2020-06-05,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-junio-2020/","Intencion de voto y valoracion de lideres politicos (junio 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"94","Celeste-Tel/eldiario.es","1-5 Jun 2020",1100,61.9,27,23.1,15.2,12.3,6.7,3.8,1.8,2.4,1.6,1.2,0.9,0.5,0.5,"0.4","0.3","3.9",2020-06-05,"https://www.eldiario.es/politica/PP-Ciudadanos-PSOE-Unidas-Podemos_0_1036596907.html","El PP alcanza los 100 escanos y sumaria con Vox mas diputados que PSOE y Unidas Podemos juntos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/eldiario.es </a>"
"95","GAD3/ABC","18 May-5 Jun 2020",3104,NA,28.3,25.4,11.2,10.5,7.6,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,"2.9",2020-06-05,"https://www.abc.es/espana/abci-centro-derecha-supera-izquierda-nueve-escanos-y-42-puntos-voto-202006072047_noticia.html","El centro-derecha supera a la izquierda por nueve escanos y 4,2 puntos de voto","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GAD3/ABC </a>"
"96","ElectoPanel/Electomania","2-3 Jun 2020",1400,NA,25.6,25.1,14,11.7,7.8,3.6,1.9,2.6,1.3,1.2,0.8,0.5,0.5,"0.4","0.2","0.5",2020-06-03,"https://electomania.es/ep6j20/","ElectoPanel (6J): retroceso del bipartidismo que aprovechan mas Vox y Cs que UP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"97","ElectoPanel/Electomania","29-31 May 2020",2200,NA,26.2,25.6,13.8,11.5,7.2,3.6,1.8,2.7,1.2,1.2,0.8,0.5,0.5,"0.4","0.2","0.6",2020-05-31,"https://electomania.es/ep31my20/","ElectoPanel (31My): el PP a punto del sorpasso en votos al PSOE","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"98","SocioMetrica/El Espanol","27-29 May 2020",1872,NA,26.9,24.4,14.6,10.9,7.9,3.6,1.4,2.3,1.6,1,0.7,0.6,NA,"0.4","0.3","2.5",2020-05-29,"https://www.elespanol.com/espana/politica/20200531/pp-vox-cs-borde-primera-mayoria-absoluta/493951119_0.html","La suma de PP, Vox y Cs, al borde por primera vez de la mayoria absoluta","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SocioMetrica/El Espanol </a>"
